count	word
5611	ziehen
5601	fehler
5600	nennen
5595	himmel
5595	de
5576	groß
5569	lebt
5561	buch
5555	tat
5548	tue
5526	kleines
5505	straße
5472	laufen
5467	büro
5463	plan
5455	retten
5452	direkt
5449	stück
5437	bereits
5413	probleme
5408	licht
5391	klingt
5388	erinnern
5378	unserem
5373	rufen
5360	erde
5332	wert
5327	onkel
5320	denkt
5309	tagen
5296	möchten
5287	alleine
5285	kaufen
5266	weh
5256	arzt
5226	wolltest
5215	schöne
5212	eigenen
5201	verlieren
5197	leicht
5186	still
5185	zwar
5174	sitzen
5165	millionen
5156	spielt
5149	verschwinden
5132	drüben
5131	suche
5124	damals
5115	solche
5094	schreiben
5062	hält
5059	jedes
5057	aufhören
5048	entschuldige
5042	kennt
5022	gefühl
5021	glaub
5013	waffen
4990	schlüssel
4977	lachen
4975	hattest
4944	vergiss
4941	mund
4924	fand
4916	m
4914	irgendwo
4901	richtige
4901	gegangen
4887	froh
4884	großer
4875	böse
4871	gutes
4867	genauso
4861	worden
4843	typen
4815	körper
4804	lasse
4800	bringe
4782	interessiert
4774	wohnung
4767	zukunft
4764	party
4760	sagten
4742	kämpfen
4735	erklären
4731	passt
4730	könntest
4719	vorsichtig
4717	fliegen
4714	halte
4704	hörst
4695	geschafft
4690	rest
4689	tragen
4682	gebracht
4679	laut
4670	fühle
4664	deswegen
4660	aufs
4646	super
4644	sollst
4630	stark
4613	findet
4612	getroffen
4612	acht
4593	höre
4584	nachricht
4579	kumpel
4564	erwartet
4563	gefängnis
4562	verzeihung
4560	genommen
4556	d
4555	stolz
4543	mist
4541	fällt
4538	weniger
4535	verdammte
4534	idiot
4531	schneller
4530	boden
4528	total
4525	stimme
4525	stand
4509	leuten
4506	klasse
4498	funktioniert
4491	liebling
4483	fort
4464	kümmern
4450	besonders
4446	denk
4445	gefragt
4435	passieren
4435	heißen
4430	vertrauen
4425	lesen
4420	wahl
4417	glaubt
4417	charlie
4409	vorstellen
4408	hinten
4390	zug
4387	wenigstens
4373	mörder
4363	angerufen
4362	geschäft
4359	mögen
4354	hart
4351	versuche
4343	hotel
4304	tages
4299	laden
4295	zeig
4293	arschloch
4274	liebt
4259	schluss
4259	eher
4258	opfer
4256	zieh
4256	länger
4250	chef
4249	general
4248	umbringen
4247	schicken
4246	boss
4237	frank
4237	fallen
4231	außerdem
4229	nachdem
4228	kampf
4218	lustig
4213	zeug
4207	sinn
4203	schauen
4185	ändern
4179	york
4179	unmöglich
4170	hasse
4166	nochmal
4162	redest
4161	verletzt
4161	folgen
4160	plötzlich
4149	wovon
4148	ärger
4145	unglaublich
4142	peter
4139	gesprochen
4134	machte
4131	solange
4127	l
4119	tanzen
4119	geschehen
4117	fenster
4115	vorher
4108	sam
4107	krankenhaus
4092	bitten
4090	schlimm
4087	seien
4078	meinung
4070	fühlen
4061	cool
4059	möchtest
4051	sieben
4044	rufe
4030	umgebracht
4029	erfahren
4026	monate
4026	führen
4025	werdet
4019	b
